,date,province,confirmed,released,deceased,population,infection_rate,recovery_rate,dead_rate,total_medical,sizeofarea
2364,2020-06-07,Busan,147,140,3,3404423.0,0.004317912315831493,95.23809523809523,2.0408163265306123,498.67042624871834,4421.328571428571
2365,2020-06-07,Daegu,6887,6640,188,2427954.0,0.2836544679182555,96.41353274284884,2.729780746333672,473.46996879875195,2746.554298642534
2366,2020-06-07,Incheon,279,118,0,2947217.0,0.009466557772977016,42.29390681003584,0.0,649.7391975308642,2772.546566321731
2367,2020-06-07,Gwangju,32,30,0,1455048.0,0.002199240162523848,93.75,0.0,504.6992715920916,2904.2874251497005
2368,2020-06-07,Daejeon,46,42,1,1471040.0,0.0031270393735044594,91.30434782608695,2.1739130434782608,485.0115397296406,2724.1481481481483
2369,2020-06-07,Ulsan,53,46,1,1142190.0,0.004640208721841375,86.79245283018868,1.8867924528301887,628.6130985140342,1075.5084745762713
2370,2020-06-07,Sejong,47,47,0,345341.0,0.013609736463379674,100.0,0.0,659.0477099236641,742.668817204301
2371,2020-06-07,Gyeonggi-do,934,678,19,13338020.0,0.007002538607679401,72.59100642398288,2.0342612419700217,638.9470658682635,1309.1892422457793
2372,2020-06-07,Gangwon-do,58,51,3,1539282.0,0.003767990530650004,87.93103448275862,5.172413793103448,602.6945967110415,91.47147611124316
2373,2020-06-07,Chungcheongbuk-do,61,49,0,1597593.0,0.003818244070924197,80.32786885245902,0.0,572.2037965616046,215.65780237580992
2374,2020-06-07,Chungcheongnam-do,148,143,0,2119771.0,0.006981886250920501,96.62162162162163,0.0,576.965432770822,257.5976424838984
2375,2020-06-07,Jeollabuk-do,21,19,0,1808802.0,0.0011609894283619766,90.47619047619048,0.0,476.878987608753,224.16681125294338
2376,2020-06-07,Jeollanam-do,20,17,0,1854618.0,0.0010783891885013518,85.0,0.0,544.6748898678414,150.2444912508101
2377,2020-06-07,Gyeongsangbuk-do,1383,1304,54,2646493.0,0.05225783706966162,94.2877801879971,3.9045553145336225,589.0258179390163,139.0476015341775
2378,2020-06-07,Gyeongsangnam-do,124,122,0,3349454.0,0.0037020959236938322,98.38709677419355,0.0,617.9804428044281,317.78500948766606
2379,2020-06-07,Jeju-do,15,13,0,671316.0,0.0022344171746241713,86.66666666666667,0.0,535.3397129186603,362.8735135135135
2380,2020-06-08,Seoul,996,651,4,9720846.0,0.010246021796868296,65.36144578313254,0.4016064257028112,422.18657980456027,16067.514049586776
2381,2020-06-08,Busan,147,141,3,3404423.0,0.004317912315831493,95.91836734693877,2.0408163265306123,498.67042624871834,4421.328571428571
2382,2020-06-08,Daegu,6888,6641,188,2427954.0,0.28369565486001797,96.41405342624854,2.72938443670151,473.46996879875195,2746.554298642534
2383,2020-06-08,Incheon,283,118,0,2947217.0,0.009602279031370951,41.69611307420495,0.0,649.7391975308642,2772.546566321731
2384,2020-06-08,Gwangju,32,30,0,1455048.0,0.002199240162523848,93.75,0.0,504.6992715920916,2904.2874251497005
2385,2020-06-08,Daejeon,46,43,1,1471040.0,0.0031270393735044594,93.47826086956522,2.1739130434782608,485.0115397296406,2724.1481481481483
2386,2020-06-08,Ulsan,53,46,1,1142190.0,0.004640208721841375,86.79245283018868,1.8867924528301887,628.6130985140342,1075.5084745762713
2387,2020-06-08,Sejong,47,47,0,345341.0,0.013609736463379674,100.0,0.0,659.0477099236641,742.668817204301
2388,2020-06-08,Gyeonggi-do,942,680,19,13338020.0,0.007062517525089931,72.1868365180467,2.0169851380042463,638.9470658682635,1309.1892422457793
2389,2020-06-08,Gangwon-do,58,51,3,1539282.0,0.003767990530650004,87.93103448275862,5.172413793103448,602.6945967110415,91.47147611124316
2390,2020-06-08,Chungcheongbuk-do,61,49,0,1597593.0,0.003818244070924197,80.32786885245902,0.0,572.2037965616046,215.65780237580992
2391,2020-06-08,Chungcheongnam-do,148,143,0,2119771.0,0.006981886250920501,96.62162162162163,0.0,576.965432770822,257.5976424838984
2392,2020-06-08,Jeollabuk-do,21,19,0,1808802.0,0.0011609894283619766,90.47619047619048,0.0,476.878987608753,224.16681125294338
2393,2020-06-08,Jeollanam-do,20,17,0,1854618.0,0.0010783891885013518,85.0,0.0,544.6748898678414,150.2444912508101
2394,2020-06-08,Gyeongsangbuk-do,1383,1309,54,2646493.0,0.05225783706966162,94.64931308749097,3.9045553145336225,589.0258179390163,139.0476015341775
2395,2020-06-08,Gyeongsangnam-do,124,122,0,3349454.0,0.0037020959236938322,98.38709677419355,0.0,617.9804428044281,317.78500948766606
2396,2020-06-08,Jeju-do,15,13,0,671316.0,0.0022344171746241713,86.66666666666667,0.0,535.3397129186603,362.8735135135135
2397,2020-06-09,Seoul,1015,664,4,9720846.0,0.010441478035965183,65.41871921182266,0.3940886699507389,422.18657980456027,16067.514049586776
2398,2020-06-09,Busan,147,141,3,3404423.0,0.004317912315831493,95.91836734693877,2.0408163265306123,498.67042624871834,4421.328571428571
2399,2020-06-09,Daegu,6888,6643,188,2427954.0,0.28369565486001797,96.44308943089432,2.72938443670151,473.46996879875195,2746.554298642534
2400,2020-06-09,Incheon,286,121,0,2947217.0,0.009704069975166402,42.30769230769231,0.0,649.7391975308642,2772.546566321731
2401,2020-06-09,Gwangju,32,30,0,1455048.0,0.002199240162523848,93.75,0.0,504.6992715920916,2904.2874251497005
2402,2020-06-09,Daejeon,46,43,1,1471040.0,0.0031270393735044594,93.47826086956522,2.1739130434782608,485.0115397296406,2724.1481481481483
2403,2020-06-09,Ulsan,53,46,1,1142190.0,0.004640208721841375,86.79245283018868,1.8867924528301887,628.6130985140342,1075.5084745762713
2404,2020-06-09,Sejong,47,47,0,345341.0,0.013609736463379674,100.0,0.0,659.0477099236641,742.668817204301
2405,2020-06-09,Gyeonggi-do,955,680,20,13338020.0,0.007159983265882042,71.20418848167539,2.094240837696335,638.9470658682635,1309.1892422457793
2406,2020-06-09,Gangwon-do,58,51,3,1539282.0,0.003767990530650004,87.93103448275862,5.172413793103448,602.6945967110415,91.47147611124316
2407,2020-06-09,Chungcheongbuk-do,61,49,0,1597593.0,0.003818244070924197,80.32786885245902,0.0,572.2037965616046,215.65780237580992
